"106年08月01日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","1513  ","中興電          ","48,000","39,000","9,000",
" ","1592  ","英瑞-KY         ","12,000","3,000","9,000",
" ","3051  ","力特            ","9,000","0","9,000",
" ","3588  ","通嘉            ","9,000","0","9,000",
" ","4763  ","材料-KY         ","9,000","0","9,000",
" ","8070  ","長華            ","12,000","3,000","9,000",
" ","9925  ","新保            ","44,000","35,000","9,000",
" ","1734  ","杏輝            ","9,000","1,000","8,000",
" ","1817  ","凱撒衛          ","10,000","2,000","8,000",
" ","2380  ","虹光            ","11,000","3,000","8,000",
" ","2442  ","新美齊          ","8,000","0","8,000",
" ","2511  ","太子            ","77,000","69,000","8,000",
" ","2816  ","旺旺保          ","8,000","0","8,000",
" ","6243  ","迅杰            ","13,000","5,000","8,000",
" ","6531  ","愛普            ","12,000","4,000","8,000",
" ","8215  ","明基材          ","48,000","40,000","8,000",
" ","8374  ","羅昇            ","9,000","1,000","8,000",
" ",="01002T","土銀國泰R1      ","13,000","6,000","7,000",
" ","1457  ","宜進            ","17,000","10,000","7,000",
" ","2109  ","華豐            ","7,000","0","7,000",
" ","3593  ","力銘            ","14,000","7,000","7,000",
" ","1467  ","南緯            ","6,000","0","6,000",
" ","1583  ","程泰            ","6,000","0","6,000",
" ","2115  ","六暉-KY         ","15,000","9,000","6,000",
" ","3018  ","同開            ","6,000","0","6,000",
" ","5007  ","三星            ","32,000","26,000","6,000",
" ","6201  ","亞弘電          ","6,000","0","6,000",
" ","6281  ","全國電          ","6,000","0","6,000",
" ","8473  ","山林水          ","14,000","8,000","6,000",
" ","1323  ","永裕            ","12,000","7,000","5,000",
" ","1558  ","伸興            ","32,000","27,000","5,000",
" ","2459  ","敦吉            ","7,000","2,000","5,000",
" ","3013  ","晟銘電          ","14,000","9,000","5,000",
" ","4106  ","雃博            ","7,000","2,000","5,000",
" ","5607  ","遠雄港          ","5,000","0","5,000",
" ","6442  ","光聖            ","13,000","8,000","5,000",
" ","8072  ","陞泰            ","5,000","0","5,000",
" ","9955  ","佳龍            ","5,000","0","5,000",
" ","2491  ","吉祥全          ","4,000","0","4,000",
" ","3054  ","立萬利          ","4,000","0","4,000",
" ","3535  ","晶彩科          ","18,000","14,000","4,000",
" ","3617  ","碩天            ","5,000","1,000","4,000",
" ","1442  ","名軒            ","5,000","2,000","3,000",
" ","1446  ","宏和            ","4,000","1,000","3,000",
" ","2636  ","台驊投控        ","7,000","4,000","3,000",
" ","2936  ","客思達-KY       ","3,000","0","3,000",
" ","3550  ","聯穎            ","3,000","0","3,000",
" ","4952  ","凌通            ","13,000","10,000","3,000",
" ","6184  ","大豐電          ","17,000","14,000","3,000",
" ","1104  ","環泥            ","13,000","11,000","2,000",
" ","1456  ","怡華            ","2,000","0","2,000",
" ","1598  ","岱宇            ","2,000","0","2,000",
" ","2367  ","燿華            ","194,000","192,000","2,000",
" ","2497  ","怡利電          ","21,000","19,000","2,000",
" ","2546  ","根基            ","2,000","0","2,000",
" ","3021  ","鴻名            ","2,000","0","2,000",
" ","3057  ","喬鼎            ","15,000","13,000","2,000",
" ","3305  ","昇貿            ","2,000","0","2,000",
" ","3432  ","台端            ","2,000","0","2,000",
" ","3528  ","安馳            ","4,000","2,000","2,000",
" ","3591  ","艾笛森          ","2,000","0","2,000",
" ","4190  ","佐登-KY         ","2,000","0","2,000",
" ","4999  ","鑫禾            ","9,000","7,000","2,000",
" ","5258  ","虹堡            ","2,000","0","2,000",
" ","5484  ","慧友            ","2,000","0","2,000",
" ","9943  ","好樂迪          ","17,000","15,000","2,000",
" ",="063855","GIS元富71購05   ","1,000","0","1,000",
" ","1324  ","地球            ","1,000","0","1,000",
" ","1539  ","巨庭            ","1,000","0","1,000",
" ","2440  ","太空梭          ","1,000","0","1,000",
" ","2483  ","百容            ","2,000","1,000","1,000",
" ","2516  ","新建            ","1,000","0","1,000",
" ","2539  ","櫻花建          ","1,000","0","1,000",
" ","3038  ","全台            ","2,000","1,000","1,000",
" ","3047  ","訊舟            ","1,000","0","1,000",
" ","3056  ","總太            ","39,000","38,000","1,000",
" ","3257  ","虹冠電          ","13,000","12,000","1,000",
" ","3308  ","聯德            ","1,000","0","1,000",
" ","3694  ","海華            ","2,000","1,000","1,000",
" ","4984  ","科納-KY         ","1,000","0","1,000",
" ","5225  ","東科-KY         ","1,000","0","1,000",
" ","6215  ","和椿            ","16,000","15,000","1,000",
" ","8101  ","華冠            ","1,000","0","1,000",
" ","8422  ","可寧衛          ","30,000","29,000","1,000",
" ","9908  ","大台北          ","1,000","0","1,000",
"*","2891  ","中信金          ","12,105,000","32,876,080","-20,771,080",
" ","3481  ","群創            ","21,540,204","36,792,000","-15,251,796",
" ","2317  ","鴻海            ","8,914,852","16,447,060","-7,532,208",
" ","2301  ","光寶科          ","3,414,000","10,106,185","-6,692,185",
"*","2330  ","台積電          ","8,852,878","14,616,708","-5,763,830",
" ","2890  ","永豐金          ","1,416,000","6,872,853","-5,456,853",
"*","2356  ","英業達          ","4,852,000","9,579,000","-4,727,000",
" ","2313  ","華通            ","981,000","5,448,000","-4,467,000",
" ","2303  ","聯電            ","21,814,733","25,812,000","-3,997,267",
" ","2371  ","大同            ","5,474,000","8,590,000","-3,116,000",
